threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR,EXPERIMENTO
1,1,10,1.102315,1443.105,4
2,1,10,1.30903,803.6595,4
3,1,10,1.207795,659.5095,4
4,1,10,1.313475,517.6435,4
5,1,10,1.2882600000000002,376.4225,4
6,1,10,1.28687,397.8525,4
7,1,10,1.3093,435.04650000000004,4
8,1,10,1.3495650000000001,431.3155,4
9,1,10,1.38598,474.9155,4
10,1,10,1.35202,300.8095,4
1,1,11,1.29764,1468.775,4
2,1,11,1.274885,807.1385,4
3,1,11,1.37176,659.0625,4
4,1,11,1.330595,550.7195,4
5,1,11,1.27114,380.224,4
6,1,11,1.357385,429.6785,4
7,1,11,1.366295,469.6395,4
8,1,11,1.350705,464.5925,4
9,1,11,1.32478,484.1685,4
10,1,11,1.354415,380.837,4
11,1,11,1.415235,315.0745,4
1,1,12,1.24613,1745.8049999999998,4
2,1,12,1.532645,1051.155,4
3,1,12,1.7027649999999999,832.6605,4
4,1,12,1.612305,662.2315000000001,4
5,1,12,1.502015,644.1795,4
6,1,12,1.53357,468.4755,4
7,1,12,1.52166,518.615,4
8,1,12,1.4864,521.4485,4
9,1,12,1.4897049999999998,544.856,4
10,1,12,1.5665399999999998,581.921,4
11,1,12,1.559985,589.175,4
12,1,12,1.56452,387.312,4
1,1,13,1.340705,1913.9699999999998,4
2,1,13,1.530675,1058.1750000000002,4
3,1,13,1.6289449999999999,843.8785,4
4,1,13,1.602855,719.377,4
5,1,13,1.477335,662.7945,4
6,1,13,1.520335,569.8375,4
7,1,13,1.5259749999999999,527.3985,4
8,1,13,1.5575649999999999,532.0575,4
9,1,13,1.48976,555.7394999999999,4
10,1,13,1.6357599999999999,595.293,4
11,1,13,2.448545,603.624,4
12,1,13,1.582295,478.194,4
13,1,13,1.57792,399.329,4
