threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,7,18,0.220068,57.3274
1,7,19,0.212465,61.8029
1,7,20,0.245016,63.5156
1,7,21,0.272448,67.4701
1,7,22,0.227327,70.2045
1,7,23,0.271825,74.641
1,7,24,0.25395,76.764
1,7,25,0.220869,80.8001
1,7,26,0.256224,83.0024
1,7,27,0.248614,87.2335
1,7,28,0.246307,89.2386
1,7,29,0.237597,93.0983
1,7,30,0.204035,95.8277
1,7,31,0.255747,99.555
1,7,32,0.213067,101.889
1,7,33,0.23679,106.076
1,7,34,0.261144,107.803
1,7,35,0.233568,111.972
1,7,36,0.243309,114.331
1,7,37,0.248354,119.538
1,7,38,0.255647,120.709
1,7,39,0.166757,126.179
1,7,40,0.207361,128.535
1,7,41,0.169703,131.594
1,7,42,0.204745,133.612
1,7,43,0.230871,138.001
1,7,44,0.217491,139.004
1,7,45,0.245034,144.422
1,7,46,0.247651,146.088
1,7,47,0.208422,150.843
1,7,48,0.250037,152.474
1,7,49,0.228239,157.505
1,8,1,0.230146,3.45047
1,8,2,0.229636,6.75026
1,8,3,0.238864,10.1163
1,8,4,0.198656,13.5707
1,8,5,0.245278,16.5921
1,8,6,0.248808,19.4887
1,8,7,0.254279,22.8246
1,8,8,0.246856,25.7417
1,8,9,0.27142,29.3526
1,8,10,0.254157,32.3301
1,8,11,0.241244,35.5551
1,8,12,0.228432,38.4293
1,8,13,0.272777,42.3795
1,8,14,0.234024,44.9826
1,8,15,0.21418,48.6833
1,8,16,0.238301,51.0878
1,8,17,0.247898,55.3768
1,8,18,0.193995,58.0877
1,8,19,0.227437,61.8082
1,8,20,0.223524,64.0497
1,8,21,0.233527,68.327
1,8,22,0.241127,70.2682
1,8,23,0.222121,74.3085
1,8,24,0.303481,76.8214
1,8,25,0.240359,80.2774
1,8,26,0.236237,83.2101
1,8,27,0.240379,87.7937
1,8,28,0.239851,89.1301
1,8,29,0.236704,94.0889
1,8,30,0.233417,96.4362
1,8,31,0.238138,100.823
1,8,32,0.214965,101.705
1,8,33,0.227672,106.285
1,8,34,0.241777,108.386
1,8,35,0.220953,113.123
1,8,36,0.220081,114.452
1,8,37,0.217936,118.486
1,8,38,0.261173,120.019
1,8,39,0.230429,126.106
1,8,40,0.225427,126.632
1,8,41,0.233537,132.541
1,8,42,0.221914,133.101
1,8,43,0.231954,137.747
1,8,44,0.237578,139.847
1,8,45,0.223406,144.815
1,8,46,0.228004,145.848
1,8,47,0.22895,151.528
1,8,48,0.239707,152.343
1,8,49,0.213528,157.435
1,9,1,0.239583,3.50299
1,9,2,0.24841,6.73953
1,9,3,0.219127,10.2195
1,9,4,0.237229,13.1552
1,9,5,0.309219,16.6062
1,9,6,0.282193,19.3156
1,9,7,0.267599,22.8854
1,9,8,0.292934,25.7796
1,9,9,0.216828,29.3905
1,9,10,0.24025,32.2971
1,9,11,0.318759,35.9487
1,9,12,0.254,38.6707
1,9,13,0.24068,42.1914
1,9,14,0.269492,44.7851
1,9,15,0.304405,48.6313
1,9,16,0.255701,51.2207
1,9,17,0.274788,54.9804
1,9,18,0.264088,57.5345
1,9,19,0.278018,61.6859
1,9,20,0.254584,63.9513
1,9,21,0.274221,67.7096
1,9,22,0.280071,70.6445
1,9,23,0.184395,74.6252
1,9,24,0.254035,77.1319
1,9,25,0.240593,81.7773
1,9,26,0.264651,82.9431
1,9,27,0.262661,87.6243
1,9,28,0.246168,89.5681
1,9,29,0.193022,93.2578
1,9,30,0.294451,95.4719
1,9,31,0.278092,100.281
1,9,32,0.317544,101.702
1,9,33,0.262514,106.342
1,9,34,0.284384,107.757
1,9,35,0.243514,112.652
1,9,36,0.25588,115.409
1,9,37,0.253528,119.398
1,9,38,0.255473,120.192
1,9,39,0.260327,124.877
1,9,40,0.29161,126.38
1,9,41,0.280409,131.508
1,9,42,0.300499,132.669
